sample	Observed diversity	Shannon-Wiener diversity	Normalized Shannon-Wiener index	Inverse Simpson index	Gini index	Chao1 estimate	Efron-Thisted estimate	d50
P21-T0-DNEG.clns	712.0	712.0	1.0	712.0	1.0014044943820224	253828.0	14952.0	141.0
P21-T0-DPOS.clns	331.0	331.0	1.0	331.0	1.0030211480362539	54946.0	3972.0	12.0
P21-T0-PD1.clns	342.0	341.9999999999999	1.0	342.0	1.0029239766081872	58653.0	4788.0	20.0
P21-T0-TIGIT.clns	368.0	368.0000000000001	1.0	368.0	1.002717391304348	67896.0	7728.0	10.0
P22-M1-DNEG.clns	170.0	170.00000000000006	1.0	170.0	1.0058823529411764	14535.0	510.0	22.0
P22-M1-DPOS.clns	88.0	88.00000000000003	1.0	88.0	1.0113636363636365	3916.0	176.0	10.0
P22-M1-PD1.clns	69.0	69.00000000000001	1.0	69.0	1.0144927536231885	2415.0	138.0	12.0
P22-M1-TIGIT.clns	69.0	69.00000000000001	1.0	69.0	1.0144927536231885	2415.0	138.0	10.0
P22-M2-DNEG.clns	1030.0	1030.0000000000002	1.0	1030.0	1.0009708737864078	530965.0	21630.0	211.0
P22-M2-DPOS.clns	491.0	490.99999999999943	0.9999999999999999	491.00000000000017	1.0020366598778003	120786.0	10311.0	23.0
P22-M2-PD1.clns	562.0	561.9999999999999	1.0	562.0	1.001779359430605	158203.0	11802.0	32.0
P22-M2-TIGIT.clns	263.0	263.00000000000006	1.0	263.0	1.0038022813688212	34716.0	1578.0	5.0
P22-T0-DNEG.clns	744.0	743.9999999999998	1.0	743.9999999999999	1.0013440860215055	277140.0	15624.0	183.0
P22-T0-DPOS.clns	289.0	289.00000000000006	1.0	289.0	1.0034602076124568	41905.0	2023.0	22.0
P22-T0-PD1.clns	251.0	250.9999999999999	1.0	251.0	1.00398406374502	31626.0	1255.0	22.0
P22-T0-TIGIT.clns	301.0	300.9999999999999	1.0	301.0	1.0033222591362125	45451.0	2408.0	7.0
P23-M1-DNEG.clns	307.0	306.9999999999999	1.0	307.0	1.003257328990228	47278.0	2763.0	7.0
P23-M1-DPOS.clns	141.0	141.00000000000003	1.0	141.0	1.0070921985815602	10011.0	423.0	19.0
P23-M1-PD1.clns	115.0	115.00000000000001	1.0	115.0	1.008695652173913	6670.0	345.0	6.0
P23-M1-TIGIT.clns	199.0	198.99999999999997	1.0	199.0	1.0050251256281406	19900.0	796.0	11.0
P23-T0-DNEG.clns	36.0	36.0	1.0	36.0	1.0277777777777777	666.0	72.0	1.0
P23-T0-DPOS.clns	28.0	27.999999999999996	1.0	28.0	1.0357142857142858	406.0	56.0	1.0
P23-T0-PD1.clns	32.0	32.0	1.0	32.0	1.03125	528.0	64.0	2.0
P23-T0-TIGIT.clns	46.0	46.0	1.0	46.0	1.0217391304347827	1081.0	92.0	3.0
P5-M1-DNEG.clns	914.0	913.9999999999997	1.0	914.0	1.00109409190372	418155.0	19194.0	192.0
P5-M1-DPOS.clns	262.0	261.99999999999994	1.0	262.0	1.0038167938931297	34453.0	1572.0	39.0
P5-M1-PD1.clns	562.0	561.9999999999999	1.0	562.0	1.001779359430605	158203.0	11802.0	86.0
P5-M1-TIGIT.clns	225.0	225.0	1.0	225.0	1.0044444444444445	25425.0	900.0	1.0
P5-M2-DNEG.clns	1273.0	1273.0000000000005	1.0	1273.0	1.0007855459544384	810901.0	26733.0	263.0
P5-M2-DPOS.clns	633.0	632.9999999999998	1.0	633.0	1.0015797788309637	200661.0	13293.0	40.0
P5-M2-PD1.clns	935.0	935.0000000000003	1.0	935.0	1.0010695187165775	437580.0	19635.0	190.0
P5-M2-TIGIT.clns	101.0	101.00000000000003	1.0	101.0	1.00990099009901	5151.0	303.0	1.0
P5-T0-DNEG.clns	873.0	872.9999999999998	1.0	873.0	1.0011454753722795	381501.0	18333.0	229.0
P5-T0-DPOS.clns	437.0	436.9999999999999	1.0	437.0	1.002288329519451	95703.0	9177.0	30.0
P5-T0-PD1.clns	283.0	283.0	1.0	283.0	1.0035335689045937	40186.0	1981.0	43.0
P5-T0-TIGIT.clns	167.0	167.00000000000006	1.0	167.0	1.0059880239520957	14028.0	501.0	1.0
P6-M1-DNEG.clns	420.0	419.99999999999994	1.0	419.99999999999994	1.0023809523809524	88410.0	8820.0	52.0
P6-M1-DPOS.clns	250.0	249.9999999999999	1.0	250.0	1.004	31375.0	1250.0	26.0
P6-M1-PD1.clns	439.0	439.00000000000006	1.0	439.0	1.0022779043280183	96580.0	9219.0	11.0
P6-M1-TIGIT.clns	254.0	254.0	1.0	254.0	1.0039370078740157	32385.0	1270.0	23.0
P6-T0-DNEG.clns	304.0	304.00000000000006	1.0	304.0	1.0032894736842106	46360.0	2432.0	56.0
P6-T0-DPOS.clns	282.0	282.00000000000006	1.0	282.0	1.00354609929078	39903.0	1974.0	8.0
P6-T0-PD1.clns	87.0	87.0	1.0	87.0	1.0114942528735633	3828.0	174.0	2.0
P6-T0-TIGIT.clns	162.0	162.00000000000009	1.0000000000000002	162.0	1.0061728395061729	13203.0	486.0	7.0
P7-M1-DNEG.clns	360.0	360.00000000000006	1.0	360.0	1.0027777777777778	64980.0	7200.0	2.0
P7-M1-DPOS.clns	581.0	580.9999999999998	1.0	581.0	1.0017211703958693	169071.0	12201.0	14.0
P7-M1-PD1.clns	339.0	338.9999999999999	1.0	339.0	1.0029498525073746	57630.0	4407.0	9.0
P7-M1-TIGIT.clns	289.0	289.00000000000006	1.0	289.0	1.0034602076124568	41905.0	2023.0	4.0
P7-M2-DNEG.clns	549.0	548.9999999999999	1.0	549.0	1.0018214936247722	150975.0	11529.0	3.0
